,toilets,beds,baths,rent,city,room_index
0,2,1,1,2600000,Garki 2,4
1,6,5,5,12000000,Katampe Ext,16
2,1,1,1,2600000,Garki 1,3
3,6,5,5,25000000,Katampe Ext,16
4,4,3,3,12000000,Maitama,10
5,4,4,4,6000000,Wuye,12
6,2,1,1,2600000,Garki 2,4
7,5,4,4,6000000,Wuye,13
8,7,6,6,10000000,Garki 2,19
9,4,3,3,3000000,Lokogoma,10
11,4,3,3,3500000,,10
12,1,1,1,900000,Wuye,3
13,4,4,4,6000000,Jahi,12
14,5,4,4,4000000,Apo,13
15,4,4,4,8500000,Jahi,12
16,4,4,4,15000000,Katampe Ext,12
17,5,5,5,15000000,Asokoro,15
18,3,3,3,8000000,Maitama,9
19,3,3,3,35000,Maitama,9
20,4,3,3,3000000,Apo,10
21,5,5,5,28000000,Wuye,15
22,0,4,0,7500000,,4
23,5,4,4,7500000,Jahi,13
24,5,4,4,7000000,Life Camp,13
25,9,8,8,60000000,Maitama,25
27,6,5,5,25000000,Katampe Ext,16
28,5,4,4,20000000,Guzape,13
29,7,6,6,40000000,Asokoro,19
30,5,4,4,7000000,,13
31,5,4,4,6500000,Jahi,13
32,9,9,9,60000000,Maitama,27
33,3,2,2,7500000,Jahi,7
35,4,3,3,17000000,Maitama,10
36,6,5,6,17000000,Asokoro,17
37,6,5,6,7500000,Asokoro,17
38,7,6,7,70000000,Asokoro,20
39,4,3,4,17000000,Guzape,11
40,5,4,5,6000000,Guzape,14
41,5,4,5,13000000,Guzape,14
42,4,3,4,40000,Maitama,11
43,5,4,5,10000000,Guzape,14
44,6,5,6,6000000,Apo,17
45,5,4,5,18000000,Guzape,14
46,4,3,4,5000000,Asokoro,11
47,5,4,5,6500000,Guzape,14
48,6,5,6,40000000,Asokoro,17
49,4,3,4,15000000,Asokoro,11
50,4,3,4,5000000,Apo,11
51,5,4,5,7000000,Asokoro,14
52,2,1,1,2600000,Garki 2,4
53,5,4,5,13000000,Asokoro,14
54,4,3,4,30000000,Guzape,11
55,5,4,5,15000000,Guzape,14
56,4,3,4,4000000,Guzape,11
57,6,5,6,20000000,Asokoro,17
58,7,6,7,45000000,Asokoro,20
59,5,4,5,20000000,Guzape,14
60,0,0,0,500000,Wuye,0
61,0,4,0,2500000,,4
63,5,4,5,3500000,Lugbe,14
64,3,3,3,5000000,Garki 1,9
65,4,3,3,3500000,,10
66,3,2,2,2500000,,7
70,4,3,3,5000000,,10
71,4,3,3,6000000,Jahi,10
72,5,4,4,7000000,Jahi,13
73,4,3,3,10000000,Jahi,10
74,5,4,4,7000000,Life Camp,13
75,2,1,1,9000000,Maitama,4
81,2,2,2,1500000,Life Camp,6
82,0,1,0,1800000,,1
83,3,2,3,2300000,,8
84,2,1,2,1700000,,5
85,3,2,3,1700000,,8
86,5,4,5,5000000,,14
87,4,3,3,6000000,Asokoro,10
88,6,5,5,7500000,Asokoro,16
